concept,chapter,chapter_title,pdf_page,book_page,evidence
histogram features,9,Feature Engineering and Selection,269,261,"the histogram feature transformation, is a common feature engineering tool used for a variety of data types including categorical, text, image, and audio data."
principal component analysis,9,Feature Engineering and Selection,270,262,when PCA (see Section 8.3) is applied to reduce the dimension of a dataset it does so by learning a new (smaller) set of features over which the dataset may be fairly represented.
clustering,9,Feature Engineering and Selection,270,262,any clustering technique (like K-Means detailed in Section 8.5) learns new representations to reduce the shear number of points in a dataset.
one-hot encoded labels,9,Feature Engineering and Selection,272,264,This method of encoding categorical features is sometimes referred to as one-hot encoding
inner product similarity,9,Feature Engineering and Selection,273,265,the inner product between two BoW vectors x1 and x2 always ranges between 0 and 1 ... may be used as a rough geometric measure of similarity
normalization,9,Feature Engineering and Selection,273,265,each BoW vector is normalized to have unit length.
stemming,9,Feature Engineering and Selection,273,265,"This preprocessing step is commonly called stemming, where related words with a common stem or root are reduced to (and then represented by) their common linguistic root."
stop words,9,Feature Engineering and Selection,273,265,"uninformative words such as are and the, typically referred to as stop words"
newton's method,9,Feature Engineering and Selection,275,267,a run of Newton's method (see Section 4.4)
softmax cost function,9,Feature Engineering and Selection,275,267,Employing the two-class Softmax cost (see Section 7.3) to learn the separator
discriminative features,9,Feature Engineering and Selection,276,268,pixel values themselves are typically not discriminative enough to be useful for machine learning tasks.
edge histogram features,9,Feature Engineering and Selection,277,269,We then make normalized histogram of each image’s edge content (as shown for the examples in the right column of Figure 9.7).
mini-batch gradient descent,9,Feature Engineering and Selection,280,272,mini-batch gradient descent (20 steps/epochs with a learning rate of α = 10−2 and batch size of 200 applied to a multi-class Softmax cost)
spectrogram,9,Feature Engineering and Selection,281,273,computing frequency histograms over overlapping windows of an audio signal ... produces a feature vector ... and is a common feature transformation used for speech recognition called a spectrogram.
standard normalization,9,Feature Engineering and Selection,282,274,Standard normalization of the input features of a dataset is a very simple two-step procedure consisting of first mean-centering and then re-scaling each of its input features by the inverse of its standard deviation.
nonlinear feature engineering,10,Principles of Nonlinear Feature Engineering,309,301,nonlinear feature engineering in the context supervised and unsupervised learning
nonlinear regression,10,Principles of Nonlinear Feature Engineering,309,301,the general framework of nonlinear regression via engineering of nonlinear feature transformations
nonlinear model,10,Principles of Nonlinear Feature Engineering,311,303,"model (x, Θ) = w0 + f1 (x) w1 + f2 (x) w2 + · · · + fB (x) wB"
feature engineering,10,Principles of Nonlinear Feature Engineering,312,304,feature engineering wherein the functional form of nonlinearities to use in machine learning models is determined (or engineered) by humans through their expertise
transformed feature space,10,Principles of Nonlinear Feature Engineering,312,304,in this transformed feature space... our tuned nonlinear model becomes a linear one.
standard normalization,10,Principles of Nonlinear Feature Engineering,313,305,it is still highly advantageous to employ standard normalization to scale our input when employing gradient descent schemes
non-convex cost function,10,Principles of Nonlinear Feature Engineering,316,308,the corresponding cost functions are generally non-convex.
softmax cost function,10,Principles of Nonlinear Feature Engineering,317,309,g (W) = 1 P P X p=1 0 B @log C−1 X c=0 e˚xT p wc 1 C A − ˚xT p wyp
multi-output regression,10,Principles of Nonlinear Feature Engineering,317,309,"nonlinear feature engineering for multi-output regression. In this Section we present a description of nonlinear feature engineering for multi-output regression first introduced Section 5.6. This mirrors what we have seen in the previous Section completely with one small but important difference: in the multi-output case we can choose to model each regression separately, employing one nonlinear model for output, or jointly, producing a single nonlinear model for all outputs simultaneously"
decision boundary,10,Principles of Nonlinear Feature Engineering,320,312,our decision boundary here consists of all inputs x where ˚fTw = 0
gradient descent,10,Principles of Nonlinear Feature Engineering,320,312,minimizing the Least Squares cost in Equation (10.23) using gradient descent
fusion rule,10,Principles of Nonlinear Feature Engineering,325,317,we aim to tune the parameters of W to satisfy the fusion rule
one-versus-all classification,10,Principles of Nonlinear Feature Engineering,325,317,by either tuning each column of W one-at-a-time in a one-versus-all approach
automatic differentiation,10,Principles of Nonlinear Feature Engineering,325,317,if we wish to use an automatic diﬀerentiator then these should be expressed using autograd’s numpy wrapper
feature sharing,10,Principles of Nonlinear Feature Engineering,326,318,choose a single set of nonlinear feature transformations and share them among all C two-class models
degree two polynomial expansion,10,Principles of Nonlinear Feature Engineering,327,319,full degree two polynomial expansion of the input consisting of features of the form xi 1xj 2 where i + j ≤2
mean-centering,10,Principles of Nonlinear Feature Engineering,328,320,mean-centered N dimensional input datapoints
least squares cost function,10,Principles of Nonlinear Feature Engineering,329,321,Least Squares error measurement
manifold,10,Principles of Nonlinear Feature Engineering,329,321,nonlinear surface (also called a manifold)
encoder-decoder composition,10,Principles of Nonlinear Feature Engineering,330,322,"model (x, Θ) = fd (fe (x))"
output transformation,10,Principles of Nonlinear Feature Engineering,334,326,"to produce a linear relationship you will end up having to transform the output, not the input."
nonlinear classification,10,Principles of Nonlinear Feature Engineering,336,328,Nonlinear two-class classification
kernel pca,10,Principles of Nonlinear Feature Engineering,337,329,"This is a more restricted version of nonlinear PCA, often termed Kernel PCA"
kernel k-means,10,Principles of Nonlinear Feature Engineering,338,330,The same idea introduced in the previous exercise can also be used to extend K-means clustering (see Section 8.4) to a nonlinear setting as well - and is the basis for so-called kernel K-means.
standard basis vector constraint,10,Principles of Nonlinear Feature Engineering,338,330,each weight vector wp ∈{ek}K k=1 is a standard basis vector
feature learning,11,Principles of Feature Learning,339,331,feature learning (or automatic feature engineering) that allow us to automate this task and learn proper features from the data itself
nonlinear model,11,Principles of Feature Learning,339,331,a general nonlinear model for regression and two-class classification as a weighted sum of B nonlinear functions
universal approximators,11,Principles of Feature Learning,341,333,"The first step, as we will see in Section 11.2, is to organize the pursuit of automation by first placing the fundamental building blocks of this infinitude into manageable collections of (relatively simple) nonlinear functions. These collections are often called universal approximators, of which three strains are popularly used and which we introduce here: fixed-shape approximators, artificial neural networks, and trees."
linear combination,11,Principles of Feature Learning,345,337,the linear combination f1w1 + f2w2 + ... + fBwB = y defines a new N dimensional vector
least squares cost function,11,Principles of Feature Learning,361,353,using a Least Squares cost (third row) and a softmax cost (fourth row)
softmax cost function,11,Principles of Feature Learning,361,353,softmax cost (fourth row)
training error,11,Principles of Feature Learning,362,354,"As a measurement tool the training error only tells us how well a tuned model fits the training data, but fails to tell us when our tuned model becomes too complex."
overfitting,11,Principles of Feature Learning,367,359,"we say that overfitting begins. This language is used because while such highly complex models fit the given data extremely well, they do so at the cost of not representing the underlying phenomenon well."
underfitting,11,Principles of Feature Learning,367,359,"We say that such a tuned model underfits, as it does not even fit the given data well"
model complexity,11,Principles of Feature Learning,367,359,"Notice, we only control the complexity of a tuned model (or, roughly speaking, how ”wiggly” a tuned model fit is) indirectly by how we set both our capacity and optimization dials"
optimization dial,11,Principles of Feature Learning,367,359,"we only control the complexity of a tuned model (or, roughly speaking, how ”wiggly” a tuned model fit is) indirectly by how we set both our capacity and optimization dials"
validation error,11,Principles of Feature Learning,370,362,"The model providing the lowest error on the validation data, i.e., the lowest validation error, is then deemed the best choice from a selection of trained models."
training set,11,Principles of Feature Learning,370,362,the remaining portion we use to train models is likewise referred to as the training data (or training set)
validation set,11,Principles of Feature Learning,370,362,The random portion of the data we remove to validate our model(s) is commonly called the validation data (or validation set)
early stopping,11,Principles of Feature Learning,391,383,"With early stopping regularization we properly tune a high capacity model by making a run of local optimization (tuning all parameters of the model), and by using the set of weights from this run where the model achieves minimum validation error."
local optimization,11,Principles of Feature Learning,391,383,make a run of local optimization
high capacity model,11,Principles of Feature Learning,391,383,high capacity model
regularizer,11,Principles of Feature Learning,396,388,A regularizer is a simple function that can be added to a machine learning cost
regularization parameter,11,Principles of Feature Learning,396,388,where λ is referred to as the regularization parameter. The regularization parameter is always non-negative λ ≥0 and controls the mixture of the cost and regularizer
regularized cost function,11,Principles of Feature Learning,396,388,the regularized cost is given as the linear combination of g and h as g (Θ) + λh (Θ)
l2 regularization based cross-validation,11,Principles of Feature Learning,409,401,"the appropriate tuning of each model’s parameters is achieved via ℓ2 regularization based cross-validation (see Section 11.6.3) using a dense range of values for λ ∈[0, 0.1]."
boosting,11,Principles of Feature Learning,412,404,With boosting we build up a single cross-validated model by gradually adding together simple models consisting of a single universal approximator unit (see especially Section 11.5.4).
ensembling,11,Principles of Feature Learning,412,404,An ensembling method... refers to any method of combining different models in a machine learning context.
k-folds cross-validation,11,Principles of Feature Learning,413,405,with K-folds cross-validation we choose a single model that has minimum average validation error over all of the splits together.
regularization,11,Principles of Feature Learning,416,408,regularizer-based regularization (as described in Section 11.6.3)
sparse feature selection,11,Principles of Feature Learning,417,409,"sparse feature selection, is commonly done in order to produce high performing and human-interpretable results"
cross-validation,11,Principles of Feature Learning,419,411,Methods for automating the setting of capacity and optimization (called cross-validation)
model capacity,11,Principles of Feature Learning,419,411,properly setting the capacity of a model built with units of a universal approximator
fixed-shape universal approximators,12,Kernel methods,423,415,fixed-shape universal approximators as collections of various nonlinear features which have no internal (tunable) parameters
fourier basis,12,Kernel methods,424,416,the Fourier basis ... consists of the set of paired sine and cosine waves (with ever-increasing frequency) of the form f2m−1 (x) = sin (2πmx) and f2m (x) = cos (2πmx)
exponential scaling of fixed-shape units,12,Kernel methods,425,417,the number of units of a typical fixed-shape approximator in a model employing a complete package of such units grows exponentially with the dimension of input.
complete package of fixed-shape units,12,Kernel methods,425,417,"we virtually always use polynomial units as a complete package of units of a certain degree, not individually."
kernel trick,12,Kernel methods,426,418,This serious scaling issue motivates the so-called kernel trick described in the next Section
weight vector decomposition over feature matrix,12,Kernel methods,428,420,any vector ω in an M dimensional space can be decomposed over the column space of a given matrix F as ω = Fz + r
orthogonal component r,12,Kernel methods,428,420,r is orthogonal to this subspace
kernel matrix,12,Kernel methods,429,421,denoting the symmetric P × P matrix H = FTF ... referred to as a kernel matrix or just a kernel for short
kernelization via weight vector substitution,12,Kernel methods,429,421,Substituting this representation of ω back into the cost function
kernelized least squares,12,Kernel methods,429,421,"g(b, z) = Σ(b + hT_p z - yp)^2"
kernelized logistic regression,12,Kernel methods,430,422,This kernelized form of the Softmax is often referred to as kernelized logistic regression.
softmax cost function,12,Kernel methods,430,422,"our generic two-class Softmax cost ... g (b, ω) = Σ log(1 + e^{-yp(b+fT p ω)})"
entry-wise kernel matrix construction,12,Kernel methods,431,423,this matrix may be constructed entry-wise via simple formulae
polynomial kernel,12,Kernel methods,431,423,Example 12.7 The polynomial kernel
kernelized l2 regularizer,12,Kernel methods,431,423,the kernelized form of the regularized Least Squares problem ... λz^T H z
kernelized squared margin,12,Kernel methods,431,423,"squared margin/ soft-margin SVMs ... PP p=1 max2 (0, 1 - yp(b + hT_p z))"
kernelized multi-class softmax,12,Kernel methods,431,423,multi-class softmax ... kernelized version
l2 regularizer,12,Kernel methods,431,423,the l2 regularizer can be added to any cost function in the middle column and the resulting kernelized form of the sum will be the sum of the kernelized cost regularizer
soft-margin support vector machine,12,Kernel methods,431,423,squared margin/soft-margin SVMs
naive cross-validation,12,Kernel methods,439,431,"we use naive cross-validation (that is, we simply perform a raw search over various models as first detailed in Section 11.4.2)"
regularization-based cross-validation,12,Kernel methods,439,431,cross-validation via regularization with the ℓ2 norm (as detailed in Section 11.4) is common practice when employing polynomial and Fourier kernels.
fourier kernel,12,Kernel methods,442,434,"Fourier kernel for vector-valued input ... Calculate the corresponding i, jth entry of the kernel matrix"
fully-connected neural network,13,Fully-connected neural networks,443,435,"discussing general multi-layer neural networks, also referred to as fully-connected networks, multi-layer perceptrons, and deep feedforward neural networks."
activation function,13,Fully-connected neural networks,443,435,"a linear combination of input passed through a nonlinear activation function, which is typically an elementary mathematical function (e.g., tanh, ReLU, a logistic sigmoid, etc.,)."
single-layer unit,13,Fully-connected neural networks,443,435,"single hidden-layer unit, also called a single-layer unit for short"
model capacity,13,Fully-connected neural networks,444,436,"This roughly illustrates the capacity of each single layer unit. Capacity (a concept first introduced in Section 11.2.2) refers to the range of shapes a function like this can take, given all different settings of its internal parameters."
model parameters,13,Fully-connected neural networks,444,436,"the internal parameters of the function (i.e., w(1)_0 and w(1)_1 ) have been set randomly"
recursive construction,13,Fully-connected neural networks,444,436,We refer to this manner of writing out the function as the recursive recipe for creating single-layer network units. The recursive nature of constructing two-layer units using single-layer ones is emphasized.
hidden layer,13,Fully-connected neural networks,445,437,In the middle of this visual depiction (where the blue circles representing all U1 activations align) is the hidden layer of this network model.
neural network architecture,13,Fully-connected neural networks,445,437,A visual representation like this is often referred to as a neural network architecture or just an architecture.
input layer,13,Fully-connected neural networks,445,437,"This layer is ""visible"" to us since this is where we inject the input data to our network which we ourselves can ""see,"" and is also often referred to as the first or input layer of the network."
output layer,13,Fully-connected neural networks,446,438,"This is the final output of the model, and is often called the final or output layer of the network which is again ""visible"" to us (not hidden)."
weight matrix,13,Fully-connected neural networks,447,439,"Taking these parameters we form a column vector, starting with the bias w(1)_0, j and then input-touching weights w(1)_1, j through w(1)_N, j, and place them into the jth column of an (N + 1) × U1 matrix W1"
vector activation,13,Fully-connected neural networks,447,439,we define a (·) as the vector function that takes in a general d × 1 vector v and returns as output a vector of the same size containing activation of each of its input’s entries
two-layer unit,13,Fully-connected neural networks,448,440,"To create a two-hidden-layer neural network unit, or a two-layer unit for short"
step function,13,Fully-connected neural networks,464,456,a step function taking on just two values: 0 (off) and 1 (on)
vanishing gradient problem,13,Fully-connected neural networks,465,457,"a technical issue known as the vanishing gradient problem. These characteristics can cause the gradient of a network employing sigmoid activations to shrink undesirably, preventing proper parameter tuning, a problem that balloons as more hidden layers are added"
sigmoid activation,13,Fully-connected neural networks,465,457,the logistic sigmoid was viewed as a reasonable compromise between the desired neuronal model and the practical need to tune parameters properly. When used as an activation function it often leads to a technical issue known as the vanishing gradient problem
backpropagation,13,Fully-connected neural networks,467,459,"The backpropagation algorithm, often referred to simply as backpropagation or backprop for short"
maxout activation,13,Fully-connected neural networks,467,459,"The maxout activation, defined as a(x) = max(v0 + v1x, w0 + w1x)"
batch normalization,13,Fully-connected neural networks,475,467,"As was the case in studying the single-layer case above, here too we willneed to graft this step onto the second hidden-layer of our network so that whenever its parameters change (e.g., during each step of a local optimizer) the distribution of this unit remains normalized."
internal covariate shift,13,Fully-connected neural networks,476,468,the covariate shift of this network is considerable
split point,14,Tree-based learners,483,475,a split point parameter s defining the boundary between the two levels
stump,14,Tree-based learners,483,475,"The most basic tree-based universal approximator, the stump, is a simple step function of the form"
bagging,14,Tree-based learners,483,475,explain their particular usage with boosting-based cross-validation and bagged ensembles
leaf parameters,14,Tree-based learners,483,475,two step levels or leaf parameters denoted by v1 and v2
growing of a tree,14,Tree-based learners,485,477,This recursive procedure is often referred to as the growing of a tree in the jargon of machine learning.
local function approximator,14,Tree-based learners,485,477,This is why tree-based universal approximators are sometimes called local function approximators.
regression tree,14,Tree-based learners,486,478,"the use of general tree-based universal approximators for the problem of regression, often called regression trees."
addition of trees,14,Tree-based learners,486,478,"Deeper, more flexible trees can also be constructed via addition of shallower trees."
staircase-like cost,14,Tree-based learners,486,478,"create highly non-convex, staircase-like functions"
human interpretability,14,Tree-based learners,486,478,shallow tree-based units ... are often easy to interpret by humans
mid-point split point,14,Tree-based learners,487,479,"we need only test one split point per flat region, e.g., the mid-point, as shown in this panel."
candidate split points,14,Tree-based learners,490,482,we create a set of candidate split point values by recording every mid-point between our input data
optimal leaf values,14,Tree-based learners,490,482,optimal leaf values v⋆_L and v⋆_R equal to the mean of the output
leaf-value optimization,14,Tree-based learners,500,492,optimize the leaf values of fsm (x) using an appropriate cost function
tree-based learner,14,Tree-based learners,500,492,In the case of tree-based learners we can dispense with the bias and weights
residual fitting,14,Tree-based learners,501,493,interpreted as successive rounds of fitting to the residual
feature subsampling,14,Tree-based learners,503,495,only a random subset of feature dimensions are sampled for viable split points
recursively defined trees,14,Tree-based learners,503,495,recursively defined regression and classification trees
computational trade-off,14,Tree-based learners,503,495,"the computational trade-off, that is, training a large number of fully grown trees compared with a smaller number of cross-validated ones"
mode,14,Tree-based learners,503,495,taking the mode of the five classification trees
pruning,14,Tree-based learners,507,499,pruning-based regularization. Pruning is a tree-specific form of regularization based cross-validation
gradient boosting,14,Tree-based learners,508,500,Gradient boosting - the specific application of boosting based cross-validation (described in detail in Section 11.5) to tree-based learners was touched upon in Section 14.5.
random forests,14,Tree-based learners,508,500,Random Forests - the specialized application of bagging (detailed in Section 11.9) to tree-based learners - was described in Section 14.6.
classification trees,14,Tree-based learners,508,500,Recursively-defined regression and classification trees were then gently motivated
supervised learning,1,Introduction to Machine Learning,26,18,Supervised learning problems (like the prototypical problem outlined in Section 1.2) refer to the automatic learning of computational rules involving input/out- put relationships.
regression,1,Introduction to Machine Learning,27,19,"This sort of task, i.e., fitting a model to a set of training data so that predictions about a continuous-valued output (here, share price) can be made, is referred to as regression."
mathematical optimization,1,Introduction to Machine Learning,36,28,"As the study of computational methods for minimizing formal mathematical functions, the tools of mathematical optimization therefore play a fundamental role throughout the text."
random search,2,Zero order optimization techniques,52,44,"With random search we do (perhaps) the ’laziest’ possible thing one could think to do in order to find a descent direction: we sample a given number of random directions stemming from wk−1, evaluate each candidate update point, and choose the one that gives us the smallest evaluation (so long as it is indeed lower on the function than our current point)."
coordinate descent,2,Zero order optimization techniques,60,52,"A slight twist on the coordinate search produces a much more effective algorithm at precisely the same computational cost called coordinate descent. Instead of collecting each coordinate direction (along with its negative version), and then choosing a single best direction from this entire set, we can simply examine one coordinate direction (and its negative) at a time and step in this direction if it produces descent."
steplength,2,Zero order optimization techniques,57,49,A commonly used alternative to fixed steplength rules are the so-called diminishing steplength rules wherein we shrink or diminish the size of the steplength at each step of local optimization.
cost function history plot,2,Zero order optimization techniques,54,46,This visualization is called a cost function history plot since (as we will see in future Chapters) mathematical functions we are interested in minimizing in machine learning are often referred to as cost or loss functions.
gradient descent,3,First order optimization techniques,81,73,"The rather simple update step in Equation (3.31) is indeed an extremely popular local optimization method called the gradient descent algorithm, named so because it employs the (negative) gradient as the descent direction."
gradient,3,First order optimization techniques,67,59,Because the derivative of a single-input function or the gradient of a multi-input function (see Section B.2) at a point gives precisely this slope information
first order taylor series approximation,4,Second order optimization techniques,109,101,"We saw in our discussion of gradient descent that the first order Taylor approximation, being a hyperplane itself, conveniently provides us with a descent direction"
vectorized implementation,5,Linear regression,134,126,"As a general rule whenever vectorized implementations are available, one must refrain from implementing algebraic expressions in Python entry-wise using for instance, explicit for loops."
margin of separating hyperplane,6,Linear Two-class Classification,183,175,"One reasonable standard for judging the quality of these hyperplanes is via their margin lengths, that is the distance between the evenly spaced translates that just touch each class."
orthogonal matrix,8,Linear Unsupervised Learning,611,603,When the eigenvectors are all perpendicular to each other V is an orthonormal matrix1 and we have VVT = I.
regularization,9,Feature Engineering and Selection,296,288,"In this Section we introduce a complementary approach to feature selection, called regularization. Instead of building up a model starting at the bottom, with regularization we take a ‘top-down’ view and start offwith a complete model that includes every one of our input features, and then we gradually remove input features of inferior importance."
boosting,9,Feature Engineering and Selection,291,283,"In this Section we discuss one popular way of performing feature selection, called boosting or forward stagewise selection. Boosting is a bottom-up approach to feature selection wherein we gradually build up our model one feature at a time by training a supervised learner sequentially, one weight at a time."
edge histogram features,9,Feature Engineering and Selection,279,271,Generalizations of this simple edge histogram concept are widely used as feature transformations for visual object recognition
mini-batch gradient descent,7,Linear Multi-class Classification,233,225,In Appendix Section A.5 we describe a simple extension of the standard gradient descent algorithm (outlined in Chapter 3) called mini-batch gradient descent. This approach is designed to accelerate the minimization of cost functions consisting of a sum of P terms
polynomial kernel,12,Kernel methods,432,424,"a polynomial kernel can be defined entry-wise, in a similar manner, for general N and D"
weight matrix,13,Fully-connected neural networks,452,444,which mirrors precisely how we defined the (N + 1) × U1 internal weight matrix W1 for our single-layer units in Equation (13.7).
internal covariate shift,13,Fully-connected neural networks,472,464,"The constant alteration of these distributions is referred to as internal covariate shift in the jargon of machine learning, or just covariate shift for short"
bagging,14,Tree-based learners,502,494,Generally speaking bagging (as detailed in Section 11.9) involves combining multiple cross-validated models to produce a single higher performing model.
classification trees,14,Tree-based learners,502,494,"Unless human interpret-ability of the final model is of primary concern, one virtually never uses a single recursively defined regression or classification tree, but a bagged ensemble of them."
backtracking line search,5,Linear regression,538,530,"Instead we test out values of α via an efficient bisection process by which we gradually decrease the value of α from some initial value until the inequality is satisfied. This procedure, referred to as backtracking line search, generally runs as follows."
