concept,lecture,pdf_file,pdf_page,page_title,evidence,source_type,confidence,bbox
similarity function,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"similarity(u,v) ≈ z_u^T z_v ≈ f(u)^T f(v)",mixed,0.900,"[55.0,357.5,220.0,385.0]"
message passing,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"layer-wise feature embedding rule (message passing), message passing, feature aggregation",mixed,1.000,"[752.5,357.5,945.0,467.5]"
activation function,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"activation (nonlinearity), ReLU max(0,x), captures nonlinearity",mixed,1.000,"[862.5,385.0,972.5,440.0]"
feature matrix,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"feature matrix, X = H_0",mixed,1.000,"[752.5,412.5,835.0,467.5]"
self-loop augmentation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Â = A + I,printed,1.000,"[752.5,467.5,835.0,495.0]"
node link prediction,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"similarity(u,v) ≈ z_u^T z_v",handwritten,0.900,"[27.5,477.5,192.5,532.5]"
graph link prediction,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"similarity(u,v) ≈ z_u^T z_v",handwritten,0.900,"[27.5,477.5,192.5,532.5]"
graph autoencoder,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"similarity(u,v) ≈ z_u^T z_v",handwritten,0.900,"[27.5,477.5,192.5,532.5]"
graph variational autoencoder,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"similarity(u,v) ≈ z_u^T z_v",handwritten,0.900,"[27.5,477.5,192.5,532.5]"
loss function,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,l(w) = 1/n Σ (x̃_i^T w - y_i)^2,printed,0.950,"[357.5,505.0,522.5,560.0]"
linearization,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Let us linearize the network by removing the nonlinearity (activation),printed,1.000,"[725.0,522.5,972.5,544.5]"
matrix multiplication,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,X̃ ∈ R^(n×(d+1)) w ∈ R^(d+1) = ŷ ∈ R^n,printed,0.950,"[357.5,560.0,550.0,725.0]"
node embedding,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,(d+1) features,printed,0.950,"[357.5,560.0,440.0,587.5]"
close/similar pairs,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"for pairs (u,v) that are close/similar",handwritten,0.900,"[82.5,587.5,247.5,615.0]"
number of nodes,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,# nodes,handwritten,0.900,"[192.5,615.0,247.5,642.5]"
embedding size,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding size,handwritten,0.900,"[137.5,642.5,192.5,670.0]"
embedding matrix,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature representation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature embedding,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature compression,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature reduction,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature representation method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature embedding method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature compression method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
graph feature reduction method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding matrix,handwritten,0.900,"[165.0,642.5,275.0,697.5]"
adjacency matrix,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Large printed matrix labeled 'A' with handwritten note 'data graph adjacency matrix'.,mixed,1.000,"[532.5,670.0,642.5,752.5]"
graph representation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"G = (V, E)",handwritten,0.950,"[27.5,697.5,110.0,725.0]"
receptive field,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Handwritten label 'receptive field' pointing to a matrix entry corresponding to node connectivity.,handwritten,1.000,"[846.0,736.0,901.0,752.5]"
node similarity,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,How to define node similarity?,handwritten,0.950,"[110.0,752.5,220.0,807.5]"
graphlets,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph sampling,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph generation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph classification,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph regression,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph generation model,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph generative adversarial network,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph augmentation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph feature sampling,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph feature generation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph feature sampling method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph feature generation method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,graphlets G1 G2,handwritten,0.900,"[247.5,752.5,330.0,807.5]"
graph walks,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Printed text 'total number of walks of length (k+1) from node i to a node j'.,printed,1.000,"[862.5,780.0,989.0,824.0]"
connected nodes,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,are connected,handwritten,0.900,"[55.0,807.5,110.0,835.0]"
shared neighbors,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,share neighbors,handwritten,0.900,"[110.0,807.5,192.5,835.0]"
topological roles,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,have similar topological roles,handwritten,0.900,"[220.0,807.5,330.0,862.5]"
knowledge graph,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,have similar topological roles,handwritten,0.900,"[220.0,807.5,330.0,862.5]"
node clustering,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,have similar topological roles,handwritten,0.900,"[220.0,807.5,330.0,862.5]"
graph clustering,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,have similar topological roles,handwritten,0.900,"[220.0,807.5,330.0,862.5]"
learnable parameters,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,all learnable parameters,handwritten,0.900,"[412.5,807.5,522.5,835.0]"
transformation layers,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,transforming layer k onto k+1,handwritten,0.900,"[412.5,835.0,522.5,862.5]"
layer-wise normalization,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Printed heading 'Layer-wise normalization and propagation rule' and text 'controls the latent embedding variance'.,printed,1.000,"[725.0,835.0,890.0,862.5]"
deep sequential learning,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Deep (sequential) node representation learning,mixed,0.950,"[302.5,862.5,412.5,917.5]"
representation learning,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Deep (sequential) node representation learning (embedding),mixed,0.950,"[302.5,862.5,412.5,917.5]"
graph neural architecture,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"H1 = F[X, A, φ0], H2 = F[H1, A, φ1], H3 = F[H2, A, φ2], ..., HK = F[HK-1, A, φK-1]",handwritten,0.950,"[357.5,862.5,522.5,972.5]"
function f,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"F[X, A, φ0], F[H1, A, φ1], F[H2, A, φ2], ..., F[HK-1, A, φK-1]",handwritten,0.900,"[357.5,862.5,522.5,972.5]"
mapping to next layer,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,maps one layer onto the next one,handwritten,0.900,"[412.5,862.5,522.5,890.0]"
graph pooling,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,maps one layer onto the next one,handwritten,0.900,"[412.5,862.5,522.5,890.0]"
graph feature pooling,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,maps one layer onto the next one,handwritten,0.900,"[412.5,862.5,522.5,890.0]"
graph feature pooling method,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,maps one layer onto the next one,handwritten,0.900,"[412.5,862.5,522.5,890.0]"
shallow node embedding,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Shallow node embedding is a task-dependent learning problem -> unsupervised.,handwritten,0.950,"[82.5,890.0,302.5,917.5]"
task-dependent learning,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,task-dependent learning,handwritten,0.900,"[192.5,890.0,302.5,917.5]"
gradient explosion,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Printed text 'suppress the gradient explosion or vanishing phenomena'.,printed,1.000,"[736.0,901.0,862.5,917.5]"
unsupervised learning,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Node embedding is unsupervised or self-supervised.,handwritten,0.950,"[82.5,917.5,302.5,945.0]"
self-supervised learning,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Node embedding is unsupervised or self-supervised.,handwritten,0.950,"[82.5,917.5,302.5,945.0]"
regression,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,SL -> regression,handwritten,0.900,"[220.0,917.5,302.5,945.0]"
node regression,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,SL -> regression,handwritten,0.900,"[220.0,917.5,302.5,945.0]"
binary classification,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,binary,handwritten,0.900,"[275.0,917.5,330.0,945.0]"
binary classification task,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,binary,handwritten,0.900,"[275.0,917.5,330.0,945.0]"
node labels,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,We utilize node labels and features for embedding.,handwritten,0.950,"[82.5,945.0,302.5,972.5]"
node classification,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,We utilize node labels and features for embedding.,handwritten,0.950,"[82.5,945.0,302.5,972.5]"
graph convolutional network,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,Introducing layer-wise non-linearity and biases into GCN,printed,1.000,"[5.5,5.5,220.0,27.5]"
node embedding,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,node embeddings (stored in columns of X),printed,1.000,"[5.5,110.0,220.0,137.5]"
message passing,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,aggregating the neighboring nodes to form a single vector,printed,1.000,"[5.5,137.5,220.0,165.0]"
representation learning,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,applying the same linear transformation Ω0 to the aggregated nodes,printed,1.000,"[5.5,165.0,220.0,192.5]"
bias,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,adding these together with a bias β0,printed,1.000,"[5.5,192.5,220.0,220.0]"
activation function,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,applying a nonlinear activation function a(•) like a ReLU,printed,1.000,"[5.5,220.0,220.0,247.5]"
self-loop augmentation,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,Add a diagonal enhancement,printed,1.000,"[642.5,247.5,752.5,275.0]"
adjacency matrix,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,Matrix labeled 'A' with handwritten note 'n x n',mixed,0.980,"[642.5,412.5,752.5,495.0]"
graph classification,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,Example: graph classification,printed,1.000,"[412.5,560.0,522.5,576.5]"
graph neural network,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,Deep (sequential) node representation learning,printed,1.000,"[308.0,670.0,412.5,697.5]"
multilayer perceptron,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,classifier MLP,handwritten,0.900,"[615.0,697.5,670.0,725.0]"
network output function,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,Network output function (output prediction),printed,1.000,"[308.0,807.5,467.5,824.0]"
logistic activation,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,y = sig [βK + ωK(HK1/N)],mixed,0.900,"[450.0,835.0,670.0,862.5]"
learned weights,2,DGL_Lecture_2_Annotated.pdf,4,Graph Convolutional Network Layer Mechanics and Graph Classification,learned weights,printed,1.000,"[308.0,862.5,357.5,879.0]"
node classification,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Node Classification,printed,1.000,"[99.0,137.5,154.0,148.5]"
action recognition,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Action Recognition,printed,1.000,"[99.0,170.5,154.0,181.5]"
recommendation systems,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Recommendation Systems,printed,1.000,"[99.0,181.5,154.0,192.5]"
reinforcement learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,reinforcement learning,printed,1.000,"[341.0,192.5,412.5,203.5]"
graph classification,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Graph Classification,printed,1.000,"[99.0,203.5,154.0,214.5]"
deep learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,deep learning,printed,1.000,"[341.0,203.5,412.5,214.5]"
clustering,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Clustering,printed,1.000,"[99.0,214.5,154.0,225.5]"
representation learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,representation learning,printed,1.000,"[341.0,214.5,412.5,225.5]"
graph attention,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Graph Attention,printed,1.000,"[99.0,225.5,154.0,236.5]"
graph neural network,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,graph neural network,printed,1.000,"[341.0,225.5,412.5,236.5]"
transformer,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,transformer,printed,1.000,"[341.0,236.5,412.5,247.5]"
self-supervised learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,self-supervised learning,printed,1.000,"[341.0,258.5,412.5,269.5]"
contrastive learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,contrastive learning,printed,1.000,"[341.0,269.5,412.5,280.5]"
graph generation,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,generative model,printed,1.000,"[341.0,291.5,412.5,302.5]"
graph convolutional network,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,GCN,printed,1.000,"[308.0,357.5,324.5,368.5]"
graph transformer,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,Graph Transformer,printed,1.000,"[308.0,368.5,357.5,379.5]"
graphsage,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,GraphSAGE,printed,1.000,"[308.0,390.5,341.0,401.5]"
message passing,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,MPNN,printed,1.000,"[308.0,401.5,324.5,412.5]"
knowledge distillation,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,knowledge distillation,printed,1.000,"[357.5,505.0,412.5,516.0]"
unsupervised learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,unsupervised learning,printed,1.000,"[357.5,560.0,412.5,571.0]"
meta-learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,meta-learning,printed,1.000,"[357.5,593.0,412.5,604.0]"
few-shot learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,few-shot learning,printed,1.000,"[357.5,626.0,412.5,637.0]"
domain adaptation,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,domain adaptation,printed,1.000,"[357.5,659.0,412.5,670.0]"
natural language processing,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,"natural language processing, nlp",printed,1.000,"[357.5,681.0,412.5,703.0]"
neural architecture search,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,neural architecture search,printed,1.000,"[357.5,725.0,412.5,736.0]"
attention,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,attention,printed,1.000,"[357.5,747.0,412.5,758.0]"
image classification,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,image classification,printed,1.000,"[357.5,758.0,412.5,769.0]"
adversarial training,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,adversarial training,printed,1.000,"[357.5,780.0,412.5,791.0]"
active learning,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,active learning,printed,1.000,"[357.5,791.0,412.5,802.0]"
deep neural network,2,DGL_Lecture_2_Annotated.pdf,5,Graph Learning Research Trends and Tasks,deep neural network,printed,1.000,"[357.5,802.0,412.5,813.0]"
unsupervised learning,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,we will examine supervised node- and graph-based classification/regression,printed,1.000,"[505.0,44.0,890.0,60.5]"
graph classification,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,supervised node- and graph-based classification,printed,1.000,"[703.0,44.0,807.5,60.5]"
regression,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,classification/regression,printed,1.000,"[752.5,44.0,807.5,60.5]"
node embedding,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Learn feature embeddings,printed,1.000,"[5.5,55.0,110.0,71.5]"
graph convolutional network,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Design your GCN layer,printed,1.000,"[372.9,55.0,544.5,71.5]"
training samples,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Training nodes,printed,1.000,"[725.0,82.5,780.0,99.0]"
message passing,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,A generalized message propagation rule to update the embeddings in a GCN layer,printed,1.000,"[5.5,110.0,302.5,132.0]"
activation function,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,activation function,printed,1.000,"[372.9,121.0,544.5,137.5]"
message passing,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,aggregate information from 'myself' (a given node) and 'my neighbors' (its neighbors),printed,1.000,"[5.5,132.0,302.5,154.0]"
loss function,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Define your loss function to optimize,printed,1.000,"[372.9,137.5,544.5,154.0]"
representation learning,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,apply a linear transformation,printed,1.000,"[5.5,154.0,302.5,170.5]"
cross-entropy,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,use binary or multiclass cross-entropy (CE) for classification,printed,1.000,"[372.9,165.0,544.5,181.5]"
mean squared error,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,least squares (or MSE) for regression,printed,1.000,"[587.5,176.0,697.5,192.5]"
logistic activation,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,output is passed through a sigmoid or softmax function,printed,1.000,"[372.9,181.5,544.5,198.0]"
prediction head,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,"Define the prediction head (node, edge, or graph)",printed,1.000,"[372.9,209.0,544.5,225.5]"
hyperparameters,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,"hyperparameters (e.g., β and ω encoding the classifier bias and weight)",printed,1.000,"[372.9,225.5,544.5,242.0]"
stochastic gradient descent,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,using stochastic gradient descent,printed,1.000,"[372.9,247.5,544.5,264.0]"
network mapping function,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Compute the loss during the forward pass,printed,1.000,"[372.9,264.0,544.5,280.5]"
backpropagation,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,using the chain rule during the backward pass,printed,1.000,"[477.5,275.0,642.5,291.5]"
backward pass,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Compute the gradient of the loss using the chain rule during the backward pass,printed,1.000,"[372.9,280.5,544.5,297.0]"
chain rule,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Compute the gradient of the loss using the chain rule,printed,1.000,"[372.9,280.5,544.5,297.0]"
backpropagation,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Loss optimization through gradient descent,printed,1.000,"[372.9,302.5,544.5,319.0]"
loop,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,A_hat = A + I 'self loop',mixed,0.900,"[642.5,330.0,697.5,357.5]"
computation graph,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,The node's neighborhood defines a computation graph,printed,1.000,"[5.5,357.5,302.5,374.0]"
node classification,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,node classification,printed,1.000,"[5.5,467.5,110.0,484.0]"
learned weights,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Printed label 'learned weights' under the matrix multiplication diagram.,printed,1.000,"[55.0,697.5,110.0,714.0]"
multilayer perceptron,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Handwritten note '(MLP)' pointing to the learned parameters section.,handwritten,0.900,"[192.5,697.5,220.0,714.0]"
manifold learning,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Printed text 'find an ultimate... much simpler manifold'.,printed,1.000,"[357.5,725.0,522.5,752.5]"
edge prediction,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Printed heading 'edge/link prediction' and diagram showing prediction of edge between nodes m and n.,printed,1.000,"[0.0,780.0,82.5,807.5]"
testing node,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Printed label 'Testing node' and 'Test on unseen' in the diagrams.,printed,1.000,"[440.0,807.5,495.0,824.0]"
transductive learning,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Test on unseen nodes,printed,1.000,"[532.5,846.0,615.0,862.5]"
dot product,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,Handwritten formula showing transpose and multiplication $h_k^{(m)T} h_k^{(n)}$ for similarity.,handwritten,0.950,"[110.0,862.5,192.5,890.0]"
inductive learning,3,DGL_Lecture_3_Annotated.pdf,1,GCN Training and Optimization Pipeline,inductive node embedding,handwritten,0.900,"[697.5,972.5,752.5,989.0]"
inductive capability,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Inductive capability of GCNs,printed,1.000,"[5.5,55.0,137.5,82.5]"
node embedding,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,How to combine the node embeddings across the entire graph?,printed,1.000,"[752.5,55.0,972.5,82.5]"
global mean pooling,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Global mean pooling,printed,1.000,"[752.5,110.0,835.0,137.5]"
self-loop augmentation,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,A_hat = A + I,handwritten,0.900,"[247.5,192.5,302.5,220.0]"
global max pooling,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Global max pooling,printed,1.000,"[752.5,220.0,835.0,247.5]"
message passing,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,"agg[n, k] = sum h_k^(m)",printed,1.000,"[137.5,275.0,247.5,302.5]"
graph-level regression,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,extend the node-level regression to a graph-level regression,printed,1.000,"[330.0,330.0,495.0,357.5]"
global sum pooling,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Global sum pooling,printed,1.000,"[752.5,330.0,835.0,357.5]"
