concept,file_name,chapter,pdf_page,book_page,figure_label,caption
edge histogram features,ch09_edge_histogram_features_figure_9_9_p278.png,9,278,270,Figure 9.9,"A pictorial representation of the sort of generalized edge histogram feature transformation commonly used for object detection. An input image is broken down into small (here 9 × 9) blocks, and an edge histogram is computed on each of the smaller non-overlapping (here 3 × 3) patches that make up the block. The resulting histograms are then concatenated and normalized jointly, producing a feature vector for the entire block. Concatenating such block features by scanning the block window over the entire image gives the final feature vector."
mini-batch gradient descent,ch09_mini_batch_gradient_descent_figure_9_11_p281.png,9,281,273,Figure 9.11,Figure associated with Example 9.3. See text for details.
spectrogram,ch09_spectrogram_figure_9_13_p282.png,9,282,274,Figure 9.13,A pictorial representation of histogram-based features for audio data. The original speech signal (shown on the left) is broken up into small (overlapping) windows whose frequency histograms are computed and stacked vertically to produce a so-called spectrogram (shown on the right). Classification tasks like speech recognition are then performed using this feature representation or further refinements of it.
nonlinear feature engineering,ch10_nonlinear_feature_engineering_figure_10_1_p310.png,10,310,302,Figure 10.1,Figure 10.1 (left panel) Linear regression illustrated. Here the fit to the data is defined by the linear model ˚xTw. (right panel) Nonlinear regression is achieved by injecting nonlinear feature transformations into our model. Here the fit to the data is a nonlinear curve defined by ˚fTw. See text for further details.
nonlinear model,ch10_nonlinear_feature_engineering_figure_10_1_p310.png,10,310,302,Figure 10.1,Figure 10.1 (left panel) Linear regression illustrated. Here the fit to the data is defined by the linear model ˚xTw . (right panel) Nonlinear regression is achieved by injecting nonlinear feature transformations into our model. Here the fit to the data is a nonlinear curve defined by ˚fTw . See text for further details.
nonlinear regression,ch10_nonlinear_feature_engineering_figure_10_1_p310.png,10,310,302,Figure 10.1,Figure 10.1 (left panel) Linear regression illustrated. Here the fit to the data is defined by the linear model ˚xTw. (right panel) Nonlinear regression is achieved by injecting nonlinear feature transformations into our model. Here the fit to the data is a nonlinear curve defined by ˚fTw. See text for further details.
transformed feature space,ch10_transformed_feature_space_figure_10_2_p312.png,10,312,304,Figure 10.2,Figure 10.2 Figure associated with Example 10.1. (left panel) A nonlinear regression dataset and corresponding tuned model defined in Equations (10.12) and (10.13). (right panel) The same data and tuned model viewed in the transformed feature space. See text for further details.
standard normalization,ch10_standard_normalization_figure_10_3_p313.png,10,313,305,Figure 10.3,Figure 10.3 Figure associated with Example 10.1. See text for details.
multi-output regression,ch10_multi_output_regression_figure_10_6_p318.png,10,318,310,Figure 10.6,Figurative illustrations of multi-output regression with C = 2 outputs. (left panel) Linear multi-output regression. (middle panel) Nonlinear multi-output regression where each regressor uses its own distinct nonlinear feature transformation. (right panel) Nonlinear multi-output regression where both regressors share the same nonlinear feature transformations. See text for further details.
decision boundary,ch10_decision_boundary_figure_10_8_p321.png,10,321,313,Figure 10.8,"Figure 10.8 Figurative illustrations of two-class linear and nonlinear classification. (left panel) Linear two-class classification, where the separating boundary is defined by ˚xTw = 0. (right panel) Nonlinear two-class classification, where the separating boundary is defined as ˚fTw = 0. See text for further details."
feature sharing,ch10_feature_sharing_figure_10_12_p326.png,10,326,318,Figure 10.12,Figurative illustrations of multi-class classifiers on a generic dataset with C = 3 classes. (left panel) Linear multi-class classification. (middle panel) Nonlinear multi-class classification where each classifier uses its own distinct nonlinear feature transformation. (right panel) Nonlinear multi-class classification where all classifiers share the same nonlinear feature transformations. See text for further details.
degree two polynomial expansion,ch10_degree_two_polynomial_expansion_figure_10_13_p328.png,10,328,320,Figure 10.13,Figure associated with Example 10.6. See text for details.
encoder-decoder composition,ch10_encoder_decoder_composition_figure_10_14_p330.png,10,330,322,Figure 10.14,Figurative illustrations of a linear (left panel) and nonlinear (right panel) Autoencoder. See text for further details.
manifold,ch10_encoder_decoder_composition_figure_10_14_p330.png,10,330,322,Figure 10.14,Figurative illustrations of a linear (left panel) and nonlinear (right panel) Autoencoder. See text for further details.
output transformation,ch10_output_transformation_figure_10_18_p334.png,10,334,326,Figure 10.18,"As Moore proposed fifty years ago, the number of transistors in microprocessors versus the year they were invented follows an exponential pattern."
output transformation,ch10_output_transformation_figure_10_19_p335.png,10,335,327,Figure 10.19,"(left panel) Experimental setup for verification of Ohm’s law. Black and brown wires are made up of constantan and copper, respectively. (right panel) Current measurements for 5 diﬀerent lengths of closing wire."
nonlinear classification,ch10_nonlinear_classification_figure_10_20_p336.png,10,336,328,Figure 10.20,Figure associated with Exercise 10.8. See text for further details.
nonlinear model,ch11_nonlinear_model_figure_11_1_p340.png,11,340,332,Figure 11.1,Toy (left panel) regression and (right panel) two-class classification datasets that clearly exhibit nonlinear behavior. The true underlying nonlinear function used to generate the data in each case is shown in dashed black. See text for further details.
linear combination,ch11_linear_combination_figure_11_5_p346.png,11,346,338,Figure 11.5,Figure 11.5 (top row) A particular linear combination of the three vectors in black creates a new vector (shown in blue). (bottom row) In an entirely similar fashion a particular linear combination of three functions in black creates a new function (shown in blue).
least squares cost function,ch11_least_squares_cost_function_figure_11_17_p361.png,11,361,353,Figure 11.17,"Figure 11.17 Figure associated with Example 11.6. (top row) Four instances of near-perfect two-class classification data. (second row) The corresponding data shown from a different (i.e., regression) perspective. (third row) Respective polynomial approximations to each dataset with B = 30 units in each instance using a Least Squares cost (third row) and a softmax cost (fourth row). The approximations shown in the final row are passed through the tanh function before visualization. See text for further details."
softmax cost function,ch11_least_squares_cost_function_figure_11_17_p361.png,11,361,353,Figure 11.17,"Figure 11.17 Figure associated with Example 11.6. (top row) Four instances of near-perfect two-class classification data. (second row) The corresponding data shown from a different (i.e., regression) perspective. (third row) Respective polynomial approximations to each dataset with B = 30 units in each instance using a Least Squares cost (third row) and a softmax cost (fourth row). The approximations shown in the final row are passed through the tanh function before visualization. See text for further details."
model complexity,ch11_model_complexity_figure_11_24_p368.png,11,368,360,Figure 11.24,"Figure 11.24 (top row) With perfect data if we set our optimization dial to all the way to the right, as we increase the capacity of our model by turning the capacity dial from left to right (starting all the way to the left) the corresponding representation gets better and better. (bottom row) With real data a similar eﬀect occurs, however here as we turn the capacity further to the right each tuned model will tend to become more and more complex, eventually overfitting the given data. See text for further details."
optimization dial,ch11_model_complexity_figure_11_24_p368.png,11,368,360,Figure 11.24,"Figure 11.24 (top row) With perfect data if we set our optimization dial to all the way to the right, as we increase the capacity of our model by turning the capacity dial from left to right (starting all the way to the left) the corresponding representation gets better and better. (bottom row) With real data a similar eﬀect occurs, however here as we turn the capacity further to the right each tuned model will tend to become more and more complex, eventually overfitting the given data. See text for further details."
overfitting,ch11_model_complexity_figure_11_24_p368.png,11,368,360,Figure 11.24,"Figure 11.24 (top row) With perfect data if we set our optimization dial to all the way to the right, as we increase the capacity of our model by turning the capacity dial from left to right (starting all the way to the left) the corresponding representation gets better and better. (bottom row) With real data a similar eﬀect occurs, however here as we turn the capacity further to the right each tuned model will tend to become more and more complex, eventually overfitting the given data. See text for further details."
underfitting,ch11_model_complexity_figure_11_24_p368.png,11,368,360,Figure 11.24,"Figure 11.24 (top row) With perfect data if we set our optimization dial to all the way to the right, as we increase the capacity of our model by turning the capacity dial from left to right (starting all the way to the left) the corresponding representation gets better and better. (bottom row) With real data a similar eﬀect occurs, however here as we turn the capacity further to the right each tuned model will tend to become more and more complex, eventually overfitting the given data. See text for further details."
model complexity,ch11_model_complexity_figure_11_25_p368.png,11,368,360,Figure 11.25,"Now suppose instead that we turn our capacity dial all the way to the right, using a very high capacity model, and set its parameters by turning our optimization dial ever so slowly from left to right. In the case of perfect data, as illustrated in the top row of Figure 11.25, this approach produces tuned models that increasingly represent the data well. With real data on the other hand, as illustrated in the bottom row of Figure 11.25, starting with our optimization dial set all the way to the left will tend to produce low complexity underfitting tuned models. As we turn our optimization dial from left to right, taking steps of a particular local optimization scheme, our corresponding model will tend to increase in complexity, improving its representation of the given data. This improveme"
optimization dial,ch11_model_complexity_figure_11_25_p368.png,11,368,360,Figure 11.25,"Now suppose instead that we turn our capacity dial all the way to the right, using a very high capacity model, and set its parameters by turning our optimization dial ever so slowly from left to right. In the case of perfect data, as illustrated in the top row of Figure 11.25, this approach produces tuned models that increasingly represent the data well. With real data on the other hand, as illustrated in the bottom row of Figure 11.25, starting with our optimization dial set all the way to the left will tend to produce low complexity underfitting tuned models. As we turn our optimization dial from left to right, taking steps of a particular local optimization scheme, our corresponding model will tend to increase in complexity, improving its representation of the given data. This improveme"
overfitting,ch11_model_complexity_figure_11_25_p368.png,11,368,360,Figure 11.25,"Now suppose instead that we turn our capacity dial all the way to the right, using a very high capacity model, and set its parameters by turning our optimization dial ever so slowly from left to right. In the case of perfect data, as illustrated in the top row of Figure 11.25, this approach produces tuned models that increasingly represent the data well. With real data on the other hand, as illustrated in the bottom row of Figure 11.25, starting with our optimization dial set all the way to the left will tend to produce low complexity underfitting tuned models. As we turn our optimization dial from left to right, taking steps of a particular local optimization scheme, our corresponding model will tend to increase in complexity, improving its representation of the given data. This improveme"
underfitting,ch11_model_complexity_figure_11_25_p368.png,11,368,360,Figure 11.25,"Now suppose instead that we turn our capacity dial all the way to the right, using a very high capacity model, and set its parameters by turning our optimization dial ever so slowly from left to right. In the case of perfect data, as illustrated in the top row of Figure 11.25, this approach produces tuned models that increasingly represent the data well. With real data on the other hand, as illustrated in the bottom row of Figure 11.25, starting with our optimization dial set all the way to the left will tend to produce low complexity underfitting tuned models. As we turn our optimization dial from left to right, taking steps of a particular local optimization scheme, our corresponding model will tend to increase in complexity, improving its representation of the given data. This improveme"
training set,ch11_training_set_figure_11_27_p371.png,11,371,363,Figure 11.27,"Figure 11.27 Splitting the data into training and validation sets. The original data shown in the left panel as the entire round mass is split randomly in the right panel into two non-overlapping sets. The smaller piece, typically or 101 to 13 of the original data, is then taken as the validation set with the remaining taken as the training set."
validation set,ch11_training_set_figure_11_27_p371.png,11,371,363,Figure 11.27,"Figure 11.27 Splitting the data into training and validation sets. The original data shown in the left panel as the entire round mass is split randomly in the right panel into two non-overlapping sets. The smaller piece, typically or 101 to 13 of the original data, is then taken as the validation set with the remaining taken as the training set."
high capacity model,ch11_high_capacity_model_figure_11_37_p390.png,11,390,382,Figure 11.37,"Figure 11.37 (top row) (top-left panel) A generic nonlinear regression dataset. (top-right panel) A figurative illustration of the cost function associated with a high capacity model over the training portion of this data. The global minimum is marked here with a blue dot (along with its evaluation by a blue ’x’) and a point nearby is marked in yellow (and whose evaluation is shown as a yellow ’x’). (bottom-left panel) The original data and fit (in blue) provided by the model using parameters from the global minimum of the cost function severely overfits the training portion of the data. (bottom-right panel) A fit provided by the parameters corresponding to the yellow dot shown in the top-right panel minimize the cost function over the validation portion of the data, and here provide a muc"
early stopping,ch11_early_stopping_figure_11_38_p392.png,11,392,384,Figure 11.38,"Figure 11.38 (left panel) A figurative illustration of early stopping regularization applied to a prototypical cost function of a high capacity model. We make a run of optimization - here shown to completion at the global minimum in blue - and choose the set of weights that provide a minimum validation error (shown in yellow). (right panel) A figurative illustration of regularizer based regularization. By adding a regularizer function to the cost associated of a high capacity model we change its shape, in particular dragging its global minima (here only one global minimum is shown) where overfitting behavior occurs away from their original location(s). The regularized cost function can then be completely minimized to recover weights as close to / far away from the true global minima of the"
regularization parameter,ch11_regularization_parameter_figure_11_41_p397.png,11,397,389,Figure 11.41,"Figure 11.41 (top panel) A prototypical pair of training / validation error curves associated with a generic run of regularizer based cross-validation. (bottom-left and bottom-right panel) With regularizer based cross-validation we set our capacity dial all the way to the right and our optimization dial all the way to the left beginning with a large value for λ our regularization parameter. We then slowly move our optimization dial from left to right by decreasing the value of λ, where here each notch on the optimization dial represents the complete minimization of the corresponding regularized cost function in Equation (11.36), improving the fit our of model to the training data. By adjusting the value of λ (and completely minimizing each corresponding regularized cost) we slowly turn the"
regularized cost function,ch11_regularization_parameter_figure_11_41_p397.png,11,397,389,Figure 11.41,"Figure 11.41 (top panel) A prototypical pair of training / validation error curves associated with a generic run of regularizer based cross-validation. (bottom-left and bottom-right panel) With regularizer based cross-validation we set our capacity dial all the way to the right and our optimization dial all the way to the left beginning with a large value for λ our regularization parameter. We then slowly move our optimization dial from left to right by decreasing the value of λ, where here each notch on the optimization dial represents the complete minimization of the corresponding regularized cost function in Equation (11.36), improving the fit our of model to the training data. By adjusting the value of λ (and completely minimizing each corresponding regularized cost) we slowly turn the"
regularizer,ch11_regularization_parameter_figure_11_41_p397.png,11,397,389,Figure 11.41,"Figure 11.41 (top panel) A prototypical pair of training / validation error curves associated with a generic run of regularizer based cross-validation. (bottom-left and bottom-right panel) With regularizer based cross-validation we set our capacity dial all the way to the right and our optimization dial all the way to the left beginning with a large value for λ our regularization parameter. We then slowly move our optimization dial from left to right by decreasing the value of λ, where here each notch on the optimization dial represents the complete minimization of the corresponding regularized cost function in Equation (11.36), improving the fit our of model to the training data. By adjusting the value of λ (and completely minimizing each corresponding regularized cost) we slowly turn the"
k-folds cross-validation,ch11_k_folds_cross_validation_figure_11_52_p414.png,11,414,406,Figure 11.52,"Schematic illustration of K-folds cross-validation for K = 3. The original data shown here as the entire circular mass (top left) is split into K non-overlapping sets. Each of these sets is referred to as a fold, and in each instance we keep a diﬀerent portion of the split data validation while merging the remaining K −1 pieces as training. We perform cross-validation with the same set of models on each of the K folds (bottom), afterwards choosing the single model with the lowest average validation error over all folds, with this model then re-trained over the entire original dataset to provide the final tuned predictor."
regularization,ch11_regularization_figure_11_55_p417.png,11,417,409,Figure 11.55,Figure 11.55 Figure associated with Example 11.19. See text for details.
fixed-shape universal approximators,ch12_fixed_shape_universal_approximators_figure_12_1_p424.png,12,424,416,Figure 12.1,"Figure 12.1 Figure associated with Example 12.1. From left to right, the first four units of a sinusoidal universal approximator."
orthogonal component r,ch12_orthogonal_component_r_figure_12_2_p428.png,12,428,420,Figure 12.2,"An illustration of a useful fact from the Fundamental Theorem of Linear Algebra which states that any vector w in an M dimensional space can be decomposed as w = Fz + r, where the vector Fz belongs in the column space of the matrix F and r is orthogonal to this subspace."
weight vector decomposition over feature matrix,ch12_orthogonal_component_r_figure_12_2_p428.png,12,428,420,Figure 12.2,"An illustration of a useful fact from the Fundamental Theorem of Linear Algebra which states that any vector w in an M dimensional space can be decomposed as w = Fz + r, where the vector Fz belongs in the column space of the matrix F and r is orthogonal to this subspace."
naive cross-validation,ch12_naive_cross_validation_figure_12_5_p440.png,12,440,432,Figure 12.5,Figure associated with Example 12.10. See text for details.
model capacity,ch13_model_capacity_figure_13_1_p445.png,13,445,437,Figure 13.1,Figure 13.1 Figure associated with Example 13.1. Four instances of a single-layer neural network unit with (top row) tanh and (bottom row) ReLU activation. See text for further details.
hidden layer,ch13_hidden_layer_figure_13_2_p446.png,13,446,438,Figure 13.2,"Figure 13.2 (left panel) Graphical representation of a single-layer neural network model, given in Equation (13.4), which is composed of U1 single-layer nonlinear feature transformations. (top right panel) A condensed graphical representation of a single-layer neural network. (bottom right panel) This network can be represented even more compactly, illustrating in a simple diagram all of the computation performed by a single layer network model. See text for further details."
input layer,ch13_hidden_layer_figure_13_2_p446.png,13,446,438,Figure 13.2,"Figure 13.2 (left panel) Graphical representation of a single-layer neural network model, given in Equation (13.4), which is composed of U1 single-layer nonlinear feature transformations. (top right panel) A condensed graphical representation of a single-layer neural network. (bottom right panel) This network can be represented even more compactly, illustrating in a simple diagram all of the computation performed by a single layer network model. See text for further details."
neural network architecture,ch13_hidden_layer_figure_13_2_p446.png,13,446,438,Figure 13.2,"Figure 13.2 (left panel) Graphical representation of a single-layer neural network model, given in Equation (13.4), which is composed of U1 single-layer nonlinear feature transformations. (top right panel) A condensed graphical representation of a single-layer neural network. (bottom right panel) This network can be represented even more compactly, illustrating in a simple diagram all of the computation performed by a single layer network model. See text for further details."
output layer,ch13_hidden_layer_figure_13_2_p446.png,13,446,438,Figure 13.2,"Figure 13.2 (left panel) Graphical representation of a single-layer neural network model, given in Equation (13.4), which is composed of U1 single-layer nonlinear feature transformations. (top right panel) A condensed graphical representation of a single-layer neural network. (bottom right panel) This network can be represented even more compactly, illustrating in a simple diagram all of the computation performed by a single layer network model. See text for further details."
sigmoid activation,ch13_sigmoid_activation_figure_13_13_p466.png,13,466,458,Figure 13.13,"Figure 13.13 Figure associated with Examples 13.7 and 13.8. (left column) The sigmoid function (top panel) and its derivative (bottom panel). The derivative here maps most input values away from the origin to output near zero, which can cause the gradient of a network employing sigmoid activation to vanish during optimization and thus prevent adequate parameter tuning. (right column) The ReLU function (top panel) and its derivative (bottom panel). While not as susceptible to vanishing gradient problems, networks employing the ReLU need to be initialized away from zero to prevent units from disappearing. See text for further details."
vanishing gradient problem,ch13_sigmoid_activation_figure_13_13_p466.png,13,466,458,Figure 13.13,"Figure 13.13 Figure associated with Examples 13.7 and 13.8. (left column) The sigmoid function (top panel) and its derivative (bottom panel). The derivative here maps most input values away from the origin to output near zero, which can cause the gradient of a network employing sigmoid activation to vanish during optimization and thus prevent adequate parameter tuning. (right column) The ReLU function (top panel) and its derivative (bottom panel). While not as susceptible to vanishing gradient problems, networks employing the ReLU need to be initialized away from zero to prevent units from disappearing. See text for further details."
maxout activation,ch13_maxout_activation_figure_13_14_p467.png,13,467,459,Figure 13.14,"Figure associated with Example 13.9. Four instances of a maxout unit in Equation (13.31), with parameters randomly set in each case. See text for further details."
internal covariate shift,ch13_internal_covariate_shift_figure_13_19_p477.png,13,477,469,Figure 13.19,Figure associated with Example 13.12. See text for details.
internal covariate shift,ch13_internal_covariate_shift_figure_13_19_p477.png,13,477,469,Figure 13.20,Figure associated with Example 13.12. See text for details.
stump,ch14_stump_figure_14_1_p484.png,14,484,476,Figure 14.1,"Figure 14.1 (top left panel) A simple stump, defined in Equation (14.1). (top right panel) A graphical illustration of a stump function as a binary tree. (bottom left panel) A depth two tree formed by recursing on each leaf of the stump, replacing it with a new stump. (bottom right panel) A graphical illustration of the depth two tree."
growing of a tree,ch14_growing_of_a_tree_figure_14_2_p485.png,14,485,477,Figure 14.2,"Figure 14.2 Four instances of (top row) a depth D = 2 tree unit and (bottom row) a depth D = 10 tree unit, where in each instance all the parameters (split points and leaf values) are set at random. The latter has higher capacity and is thus capable of generating a wider swath of shapes given diﬀerent settings of its parameters. Note here that the leaves are connected by vertical lines in order to give each tree instance a continuous appearance, which is done for visualization purposes only."
human interpretability,ch14_growing_of_a_tree_figure_14_2_p485.png,14,485,477,Figure 14.2,"Figure 14.2 Four instances of (top row) a depth D = 2 tree unit and (bottom row) a depth D = 10 tree unit, where in each instance all the parameters (split points and leaf values) are set at random. The latter has higher capacity and is thus capable of generating a wider swath of shapes given different settings of its parameters. Note here that the leaves are connected by vertical lines in order to give each tree instance a continuous appearance, which is done for visualization purposes only."
addition of trees,ch14_addition_of_trees_figure_14_3_p486.png,14,486,478,Figure 14.3,"Figure 14.3 (left panel) Three stumps, each depicted in a distinct color. (right panel) A depth two tree (in black) created by adding together the three stumps shown in the left panel."
mid-point split point,ch14_mid_point_split_point_figure_14_4_p487.png,14,487,479,Figure 14.4,"Figure 14.4 (top left panel) A prototypical nonlinear regression dataset. (top right panel) Three stumps with fixed leaf values (whose split point can vary). (middle panel) Each stump instance is slid horizontally across the input of the data by varying its split point value, creating three corresponding staircase-like Least Squares costs. (bottom panel) Each cost in the middle panel is constant in-between consecutive inputs, implying that we need only test one split point per flat region, e.g., the mid-point, as shown in this panel. See text for further details."
regression tree,ch14_mid_point_split_point_figure_14_4_p487.png,14,487,479,Figure 14.4,"Figure 14.4 (top left panel) A prototypical nonlinear regression dataset. (top right panel) Three stumps with fixed leaf values (whose split point can vary). (middle panel) Each stump instance is slid horizontally across the input of the data by varying its split point value, creating three corresponding staircase-like Least Squares costs. (bottom panel) Each cost in the middle panel is constant in-between consecutive inputs, implying that we need only test one split point per flat region, e.g., the mid-point, as shown in this panel. See text for further details."
staircase-like cost,ch14_mid_point_split_point_figure_14_4_p487.png,14,487,479,Figure 14.4,"Figure 14.4 (top left panel) A prototypical nonlinear regression dataset. (top right panel) Three stumps with fixed leaf values (whose split point can vary). (middle panel) Each stump instance is slid horizontally across the input of the data by varying its split point value, creating three corresponding staircase-like Least Squares costs. (bottom panel) Each cost in the middle panel is constant in-between consecutive inputs, implying that we need only test one split point per flat region, e.g., the mid-point, as shown in this panel. See text for further details."
candidate split points,ch14_candidate_split_points_figure_14_6_p491.png,14,491,483,Figure 14.6,Figure associated with Example 14.1. See text for details.
residual fitting,ch14_residual_fitting_figure_14_13_p501.png,14,501,493,Figure 14.13,Figure 14.13 Figure associated with Example 14.5. See text for details.
mode,ch14_mode_figure_14_15_p504.png,14,504,496,Figure 14.15,"Figure 14.15 Figure associated with Example 14.7. (left panels) The decision boundaries given by five fully grown classification trees, each grown on a different subset of the original data. Each tends to overfit the data, but their bagged ensemble (shown in the right panel) compensates for this, and does not overfit. See text for further detail."
recursively defined trees,ch14_mode_figure_14_15_p504.png,14,504,496,Figure 14.15,"Figure 14.15 Figure associated with Example 14.7. (left panels) The decision boundaries given by five fully grown classification trees, each grown on a different subset of the original data. Each tends to overfit the data, but their bagged ensemble (shown in the right panel) compensates for this, and does not overfit. See text for further detail."
pruning,ch14_pruning_figure_14_18_p507.png,14,507,499,Figure 14.18,"Figure 14.18 Pruning illustrated. (top panels) A fully-grown tree of depth two with four leaves. (bottom) A pruned version of the original tree wherein the leaves v2,1 and v2,2 are pruned and replaced by a single leaf."
